names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
"Ente Ferrovie, Napoli, Campania, Italy",Castilla_Leon,22,2024-06-30 23:13:46,,85.7,22.1,,1015.3,22.0,,1.2,24.5,0.2
"I.t.i.s. Argine, Napoli, Campania, Italy",Castilla_Leon,15,2024-06-30 23:13:46,,88.0,1.9,,1014.0,15.0,13.0,2.9,24.0,2.0
"Acerra scuola Caporale, Acerra, Campania, Italy",Castilla_Leon,-,2024-06-30 23:13:46,,88.0,1.8,,1014.0,,,,24.0,2.0
"Ospedale Santobono, Napoli, Campania, Italy",Castilla_Leon,-,2024-06-30 23:13:46,,85.6,7.1,,1015.3,,,,24.6,0.3
"Outreau, Nord-Pas-de-Calais, France",Castilla_Leon,18,2024-06-30 23:13:46,,93.0,2.3,17.5,1015.0,22.0,45.0,,15.0,1.5
"Boulogne Diderot, Nord-Pas-de-Calais, France",Castilla_Leon,17,2024-06-30 23:13:46,,93.0,,,1015.0,6.0,17.0,,15.0,1.5
"Boulogne-sur-mer, Nord-Pas-de-Calais, France",Castilla_Leon,45,2024-06-30 23:13:46,,56.0,,,1013.0,23.0,45.0,,20.0,3.6
New York,Castilla_Leon,39,2024-06-30 23:13:46,,69.1,,,1011.8,,39.0,,31.3,6.1
"Ft Lee Near Road, NewJersey, USA",Castilla_Leon,53,2024-06-30 23:13:46,2.3,95.3,4.7,1.0,1015.5,,53.0,1.5,24.4,0.2
"Intermediate School 143, New York, USA",Castilla_Leon,45,2024-06-30 23:13:46,1.8,88.0,7.4,36.8,1011.7,,45.0,,23.0,1.8
"New York, USA",Castilla_Leon,45,2024-06-30 23:13:46,1.8,88.0,7.7,36.8,1011.8,,45.0,,31.3,6.6
"Public School 274, New York, USA",Castilla_Leon,39,2024-06-30 23:13:46,,65.3,,,1011.8,,39.0,,29.1,6.1
"I S 52 Junior High School, New York, USA",Castilla_Leon,39,2024-06-30 23:13:46,2.0,69.0,5.6,36.8,1010.8,,39.0,,25.0,6.6
"Intermediate School 74, New York, USA",Castilla_Leon,38,2024-06-30 23:13:46,1.9,69.0,7.7,32.0,1010.8,,38.0,,25.0,6.6
"The City College of New York, USA",Castilla_Leon,36,2024-06-30 23:13:46,1.8,88.0,7.4,36.8,1011.7,,36.0,,23.0,1.8
