names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
"Aljarafe, Mairena Del Aljarafe, Spain",Andalucia,61,2024-06-25 22:35:37,4.0,40.5,1.0,43.3,1004.8,40.0,61.0,1.6,30.8,4.5,2024-06-25,22,noche,Moderada
"Ranilla, Sevilla, Spain",Andalucia,45,2024-06-25 22:35:37,4.0,41.6,16.0,44.9,1004.9,14.0,34.0,2.6,31.2,6.5,2024-06-25,22,noche,Buena
"Santa Clara, Sevilla, Spain",Andalucia,45,2024-06-25 22:35:37,4.0,41.6,3.2,44.9,1004.9,14.0,34.0,2.6,31.2,6.5,2024-06-25,22,noche,Buena
"Bermejales, Sevilla, Spain",Andalucia,41,2024-06-25 22:35:37,4.0,41.6,6.4,40.7,1004.9,18.0,34.0,1.6,31.2,6.5,2024-06-25,22,noche,Buena
"Lope de Vega, Vigo, Galicia, Spain",Galicia,38,2024-06-25 22:35:37,1.0,87.8,17.0,10.8,1006.5,16.0,38.0,0.9,17.7,1.8,2024-06-25,22,noche,Buena
"Coia, Vigo, Galicia, Spain",Galicia,38,2024-06-25 22:35:37,1.0,87.8,7.7,19.3,1006.5,10.0,38.0,1.5,17.7,1.8,2024-06-25,22,noche,Buena
"Estación 1, Este, Galicia, Spain",Galicia,25,2024-06-25 22:35:37,1.0,87.8,6.0,19.3,1006.5,10.0,25.0,0.6,17.7,1.8,2024-06-25,22,noche,Buena
"A Grela (C), Galicia, Spain",Galicia,91,2024-06-25 22:35:37,1.0,93.0,4.2,23.0,1007.1,20.0,91.0,3.1,17.2,12.2,2024-06-25,22,noche,Moderada
"Torre Hércules, A Coruña, Galicia, Spain",Galicia,55,2024-06-25 22:35:37,1.0,93.0,0.6,25.9,1007.3,18.0,55.0,2.7,17.2,11.0,2024-06-25,22,noche,Moderada
"Parque da Cega, Galicia, Spain",Galicia,50,2024-06-25 22:35:37,1.0,94.5,4.0,23.0,1009.3,18.0,50.0,0.7,17.2,0.7,2024-06-25,22,noche,Buena
"Riazor, A Coruña, Galicia, Spain",Galicia,30,2024-06-25 22:35:37,1.0,93.0,1.3,23.0,1007.1,17.0,30.0,1.1,17.2,12.2,2024-06-25,22,noche,Buena
"Politècnic, València, Valencia, Spain",Com_Valenciana,53,2024-06-25 22:35:37,,78.6,2.8,30.5,1013.9,25.0,53.0,1.6,23.3,6.3,2024-06-25,22,noche,Moderada
"Molí del Sol, València, Valencia, Spain",Com_Valenciana,46,2024-06-25 22:35:37,,78.6,8.3,27.3,1013.9,12.0,46.0,1.6,23.3,6.3,2024-06-25,22,noche,Buena
"Quart de Poblet, Valencia, Spain",Com_Valenciana,38,2024-06-25 22:35:37,,75.5,3.7,29.3,1010.5,12.0,38.0,2.6,23.5,5.9,2024-06-25,22,noche,Buena
"Pista de Silla, València, Valencia, Spain",Com_Valenciana,30,2024-06-25 22:35:37,,78.5,12.4,22.0,,14.0,30.0,2.1,23.8,3.0,2024-06-25,22,noche,Buena
"Avd. Francia, València, Valencia, Spain",Com_Valenciana,21,2024-06-25 22:35:37,,79.0,14.7,20.8,1012.2,6.0,21.0,1.6,23.3,8.8,2024-06-25,22,noche,Buena
"Elda, Valencia, Spain",Com_Valenciana,5,2024-06-25 22:35:37,,74.3,1.4,36.2,997.5,2.0,5.0,3.1,23.5,0.6,2024-06-25,22,noche,Buena
"Viver, Valencia, Spain",Com_Valenciana,31,2024-06-25 22:35:37,,74.6,5.1,30.5,1012.4,7.0,17.0,1.6,22.7,0.6,2024-06-25,22,noche,Buena
"Buñol, Valencia, Spain",Com_Valenciana,35,2024-06-25 22:35:37,,81.6,1.9,34.6,1013.6,6.0,17.0,1.6,22.5,7.4,2024-06-25,22,noche,Buena
"Burriana, Valencia, Spain",Com_Valenciana,32,2024-06-25 22:35:37,,74.6,1.9,32.1,1012.4,8.0,25.0,1.6,22.7,0.6,2024-06-25,22,noche,Buena
