names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
"Paris Stade Lenglen, Paris",Galicia,14,2024-05-24T23:02:53+09:00,,59.0,3.8,,1019.5,14.0,,,18.3,3.0
"Place Victor Basch, Paris",Galicia,27,2024-01-09T20:44:05+09:00,,74.2,16.4,,1025.1,27.0,,,-1.9,0.2
"Boulevard Peripherique Auteuil, Paris",Galicia,-,2021-02-27T10:50:15+09:00,0.1,72.0,1.9,22.0,1037.4,20.0,,0.6,6.1,1.0
"Parque da Cega, Galicia, Spain",Galicia,35,2024-06-28T15:30:57+09:00,1.0,94.6,4.5,20.8,1016.4,16.0,35.0,0.6,16.1,0.2
"Torre Hércules, A Coruña, Galicia, Spain",Galicia,34,2024-06-28T15:55:59+09:00,1.0,92.7,0.5,25.8,1014.2,17.0,34.0,0.6,15.9,15.0
"Riazor, A Coruña, Galicia, Spain",Galicia,21,2024-06-28T15:55:58+09:00,1.0,92.7,1.9,20.8,1014.2,14.0,9.0,0.6,15.9,15.0
"A Grela (C), Galicia, Spain",Galicia,21,2024-06-28T15:30:51+09:00,1.0,92.6,4.1,20.8,1014.2,15.0,14.0,2.3,16.1,14.6
"Molí del Sol, València, Valencia, Spain",Com_Valenciana,76,2024-06-28T15:55:57+09:00,,81.6,5.1,23.6,1015.9,22.0,76.0,1.6,23.7,1.2
"Politècnic, València, Valencia, Spain",Com_Valenciana,57,2024-06-28T15:55:59+09:00,,81.6,3.2,22.4,1015.9,18.0,57.0,1.6,23.7,1.2
"Pista de Silla, València, Valencia, Spain",Com_Valenciana,53,2024-06-28T15:55:55+09:00,,84.0,2.3,29.3,,16.0,53.0,1.6,23.3,0.5
"Quart de Poblet, Valencia, Spain",Com_Valenciana,55,2024-06-28T16:14:20+09:00,,78.0,1.9,18.3,1013.0,13.0,55.0,3.6,24.0,1.5
"Avd. Francia, València, Valencia, Spain",Com_Valenciana,25,2024-06-28T15:55:56+09:00,,81.8,6.4,24.0,1014.5,5.0,25.0,1.6,23.7,1.0
"Santa Clarita-Placerita, Los Angeles",Com_Valenciana,55,2024-06-28T15:18:11+09:00,1.2,74.0,14.1,29.6,1010.4,,55.0,,19.1,0.5
"Valence Urbain Centre, France",Com_Valenciana,53,2024-06-28T16:05:00+09:00,,80.0,10.0,5.2,1014.9,17.0,53.0,,23.8,1.0
"Valence Sud, France",Com_Valenciana,6,2024-06-28T16:05:00+09:00,,80.0,12.1,6.4,1014.9,,,,23.8,1.0
"A7 Valence Est, France",Com_Valenciana,-,2024-06-28T16:05:00+09:00,,80.0,9.0,,1014.9,18.0,,,23.8,1.0
"A7 Valence, France",Com_Valenciana,-,2021-12-18T06:32:07+09:00,,73.5,,,1024.8,,,,4.9,1.0
"Elda, Valencia, Spain",Com_Valenciana,16,2024-06-28T15:55:55+09:00,,87.6,1.4,16.3,999.9,8.0,25.0,2.6,23.3,0.6
"Viver, Valencia, Spain",Com_Valenciana,24,2024-06-28T15:55:51+09:00,,58.1,4.6,24.0,1013.9,13.0,13.0,1.6,23.9,3.0
"Buñol, Valencia, Spain",Com_Valenciana,46,2024-06-28T16:14:14+09:00,,80.0,1.9,31.7,1017.1,20.0,46.0,1.6,23.8,1.5
"Burriana, Valencia, Spain",Com_Valenciana,42,2024-06-28T15:57:47+09:00,,58.1,11.5,10.6,1013.9,12.0,42.0,2.6,23.9,3.0
"L'Alcora, Valencia, Spain",Com_Valenciana,17,2024-06-28T15:55:57+09:00,,58.1,10.1,9.8,1013.9,15.0,17.0,1.6,23.9,3.0
"Benigánim, Valencia, Spain",Com_Valenciana,30,2024-06-28T16:14:11+09:00,,83.0,4.6,29.7,1013.2,,,,23.7,3.0
"Benicassim, Valencia, Spain",Com_Valenciana,-,2024-06-28T15:55:53+09:00,,58.1,9.6,14.3,1013.9,3.0,9.0,1.6,23.9,3.0
"CEA, Sagunt, Valencia, Spain",Com_Valenciana,30,2024-06-28T15:55:51+09:00,,82.2,1.9,17.9,1010.7,10.0,30.0,2.1,23.0,0.2
"Algar de Palància, Valencia, Spain",Com_Valenciana,25,2024-06-28T14:31:54+09:00,,73.0,3.7,16.3,1013.7,11.0,25.0,1.6,20.9,0.3
"Rabassa, Alacant, Valencia, Spain",Com_Valenciana,30,2024-06-28T15:55:52+09:00,,83.0,1.4,29.7,1012.0,6.0,17.0,1.6,24.0,2.0
"Vinaròs Planta, Valencia, Spain",Com_Valenciana,46,2020-09-16T04:51:34+09:00,,89.6,1.9,23.0,1028.4,11.0,46.0,,3.8,0.6
"Tarragona (Bonavista), Catalunya, Spain",Catalunya,17,2024-06-28T15:55:54+09:00,0.1,51.5,24.3,12.0,1014.0,15.0,17.0,3.6,23.5,2.5
"Perafort, Catalunya, Spain",Catalunya,13,2024-06-28T15:26:48+09:00,0.1,37.0,6.9,12.0,1006.6,10.0,13.0,1.1,28.3,
"Burgos IV, Spain",Castilla_Leon,14,2024-06-28T15:55:53+09:00,0.1,93.0,6.4,13.5,1018.0,10.0,5.0,2.1,15.0,6.1
"Burgos I, Spain",Castilla_Leon,45,2024-02-20T20:05:13+09:00,0.1,48.5,31.6,16.3,1033.5,45.0,9.0,1.6,9.5,0.7
"Medina de Pomar, Burgos, Spain",Castilla_Leon,19,2024-06-28T15:55:48+09:00,,93.0,0.5,19.1,1018.2,1.0,,1.1,18.1,0.2
"Aranda de Duero II, Burgos, Spain",Castilla_Leon,23,2024-06-28T15:55:50+09:00,,93.0,6.4,22.8,1018.0,22.0,,0.6,15.0,6.1
"Miranda de Ebro II, Burgos, Spain",Castilla_Leon,22,2024-06-28T15:55:52+09:00,,90.5,2.8,22.0,1018.0,2.0,,0.6,17.0,3.6
"Miranda de Ebro I, Burgos, Spain",Castilla_Leon,7,2020-09-15T05:56:57+09:00,,78.5,6.0,1.7,1006.0,7.0,,1.6,12.0,1.8
"Limburg-Schiede, Germany",Castilla_Leon,38,2024-06-28T16:00:09+09:00,0.1,77.0,19.2,10.6,1015.0,17.0,38.0,0.5,16.0,4.6
